player_id,player_name,last_rank,last_rank_points,last_age,last_height,overall_elo,hand,career_matches,career_win_rate,recent_win_rate,hard_surface_win_rate,hard_surface_elo,clay_surface_win_rate,clay_surface_elo,grass_surface_win_rate,grass_surface_elo,carpet_surface_win_rate,carpet_surface_elo,unknown_surface_win_rate,unknown_surface_elo
105477,Marco Trungelliti,138.0,423.0,34.6,178.0,1512.1001438651297,R,38,0.39473684210526316,0.3,0.2222222222222222,1460.0608083424438,0.4642857142857143,1537.2631192544723,0.0,1483.2412104912212,0.0,1500.0,0.0,1500.0
104571,Marcos Baghdatis,135.0,420.0,34.0,183.0,1636.2621677698628,R,587,0.5741056218057922,0.4,0.5880893300248139,1650.2702324932093,0.44047619047619047,1464.440893600659,0.5882352941176471,1583.0165630548997,0.8666666666666667,1660.3013422630042,0.0,1500.0
103228,Marcos Daniel,147.0,407.0,32.8,180.0,1417.0419288917774,R,82,0.25609756097560976,0.2,0.047619047619047616,1337.624452376197,0.35185185185185186,1487.8123174705918,0.14285714285714285,1443.456179190844,0.0,1500.0,0.0,1500.0
106218,Marcos Giron,49.0,1105.0,31.2,180.0,1705.1886507517636,R,221,0.46153846153846156,0.6,0.47333333333333333,1658.5972611980728,0.375,1491.1716571330162,0.5161290322580645,1591.0395579160415,0.0,1500.0,0.0,1500.0
212866,Marcos Lee Chan Baratau,1320.0,5.0,18.8,0.0,1483.7898904840467,U,1,0.0,0.0,0.0,1484.0880227437215,0.0,1500.0,0.0,1500.0,0.0,1500.0,0.0,1500.0
102154,Marcos Ondruska,182.0,207.0,28.5,183.0,1412.7251390449,R,10,0.1,0.1,0.0,1405.4809891386285,0.5,1511.6470368622854,0.0,1484.0,0.0,1500.0,0.0,1500.0
105428,Marcus Daniell,643.0,41.0,25.6,188.0,1499.7023760322174,R,2,0.5,0.5,0.5,1501.659827269271,0.0,1500.0,0.0,1500.0,0.0,1500.0,0.0,1500.0
103239,Marcus Sarstrand,397.0,66.0,24.9,183.0,1480.0763721122307,R,2,0.0,0.0,0.0,1485.1361480072258,0.0,1494.075217112755,0.0,1500.0,0.0,1500.0,0.0,1500.0
105650,Marcus Willis,772.0,26.0,25.7,191.0,1517.9218069887022,L,2,0.5,0.5,0.0,1500.0,0.0,1500.0,0.5,1509.1636573363864,0.0,1500.0,0.0,1500.0
103888,Mardy Fish,581.0,55.0,33.7,188.0,1800.8674487011592,R,502,0.5796812749003984,0.4,0.5972222222222222,1752.8133502547726,0.4444444444444444,1590.5229659558129,0.6470588235294118,1720.5263505884245,0.36363636363636365,1477.4827099148424,0.0,1500.0
122261,Marek Marksoo,9999.0,0.0,19.7,0.0,1483.270732569878,U,1,0.0,0.0,0.0,1483.3557481676182,0.0,1500.0,0.0,1500.0,0.0,1500.0,0.0,1500.0
103988,Mariano Albert Ferrando,340.0,90.0,20.0,0.0,1485.374605424668,R,1,0.0,0.0,0.0,1500.0,0.0,1485.7595101171419,0.0,1500.0,0.0,1500.0,0.0,1500.0
103052,Mariano Delfino,185.0,188.0,25.6,183.0,1484.0188170528033,R,1,0.0,0.0,0.0,1500.0,0.0,1483.422067876449,0.0,1500.0,0.0,1500.0,0.0,1500.0
102251,Mariano Hood,485.0,43.0,27.9,178.0,1483.694309664714,L,5,0.4,0.4,0.0,1500.0,0.4,1486.722432520768,0.0,1500.0,0.0,1500.0,0.0,1500.0
208363,Mariano Navone,45.0,1198.0,23.6,178.0,1553.658424336181,R,42,0.42857142857142855,0.3,0.23076923076923078,1463.1021029973815,0.5769230769230769,1628.4662752257375,0.0,1462.1907459169636,0.0,1500.0,0.0,1500.0
103264,Mariano Puerta,10.0,1799.0,27.1,180.0,1618.8955743001259,L,158,0.5569620253164557,0.2,0.3181818181818182,1475.0413147510014,0.6209677419354839,1698.9933355815106,0.0,1466.6866938800697,0.4,1469.8094643162613,0.0,1500.0
103227,Mariano Sanchez,978.0,5.0,22.0,0.0,1532.8030684120715,R,2,1.0,1.0,1.0,1532.7819120786082,0.0,1500.0,0.0,1500.0,0.0,1500.0,0.0,1500.0
103151,Mariano Zabaleta,118.0,366.0,29.9,183.0,1544.5447663766915,R,299,0.4916387959866221,0.3,0.4,1469.9896700362995,0.5621621621621622,1598.3661576181169,0.0,1445.1298661358192,0.2,1461.3705226736472,0.0,1500.0
105227,Marin Cilic,196.0,298.0,36.1,198.0,1694.7714687387556,R,908,0.6299559471365639,0.5,0.6298245614035087,1652.1602775960255,0.6018099547511312,1712.362712663151,0.7037037037037037,1796.0745938265566,0.4444444444444444,1510.64032054026,0.0,1500.0
105775,Marin Draganja,9999.0,0.0,25.3,185.0,1495.4476268307199,R,1,0.0,0.0,0.0,1490.584769384164,0.0,1500.0,0.0,1500.0,0.0,1500.0,0.0,1500.0
104594,Marinko Matosevic,169.0,297.0,29.9,194.0,1539.9441539565842,R,151,0.3973509933774834,0.0,0.42592592592592593,1565.9702044710216,0.28,1470.9482950842123,0.3888888888888889,1493.0933029093892,0.0,1500.0,0.0,1500.0
108908,Mario Alberto Cayo,9999.0,0.0,19.1,0.0,1482.1933850203181,U,1,0.0,0.0,0.0,1483.7869862222897,0.0,1500.0,0.0,1500.0,0.0,1500.0,0.0,1500.0
104339,Mario Ancic,422.0,79.0,26.0,196.0,1801.6525115818254,R,334,0.6137724550898204,0.5,0.5904255319148937,1785.574714623399,0.5666666666666667,1686.3850270578932,0.7254901960784313,1740.4051425984103,0.6571428571428571,1617.2676766967945,0.0,1500.0
103998,Mario Monroy,1121.0,4.0,20.7,0.0,1500.3048527405197,U,4,0.5,0.5,0.5,1498.5378879917948,0.5,1502.4001603862735,0.0,1500.0,0.0,1500.0,0.0,1500.0
103912,Mario Radic,315.0,95.0,21.5,188.0,1483.0121502185607,R,6,0.3333333333333333,0.3333333333333333,0.0,1500.0,0.3333333333333333,1474.6588451897244,0.0,1500.0,0.0,1500.0,0.0,1500.0
